label,num,weekend,weekday,h1,h2,h3,h4,ratio,h_0,h_1,h_2,h_3
5,1,0,2,0,0,0,2,0.0,0,0,0,1
1,547,1659,4310,6670,9630,9524,9596,0.38490986288021156,0,1,0,0
1,2211,7303,17585,21614,40467,46350,35181,0.4152947665921718,0,0,1,0
9,1100,2366,6899,3672,17806,13420,4695,0.34294328245713207,0,1,0,0
2,190,262,1099,210,1624,1653,824,0.23837685378946413,0,0,1,0
2,387,739,1678,2135,4008,3998,3324,0.44037900005959124,0,1,0,0
2,2044,9417,23507,960,43254,50240,20371,0.400602371198489,0,0,1,0
1,92,117,343,245,468,478,382,0.3410084523462547,0,0,1,0
6,282,566,1603,881,3480,3481,1243,0.3530659347514191,0,0,1,0
7,610,1762,4500,6423,9840,10753,10185,0.39154685451434407,0,0,1,0
1,178,1884,4589,12366,12285,10836,14654,0.41053801398967116,0,0,0,1
2,1946,2733,7142,2154,5948,11145,8267,0.38266056201957405,0,0,1,0
2,30,25,72,54,64,63,40,0.34674063800277394,0,1,0,0
4,49,51,105,66,225,257,166,0.48525214081826834,0,0,1,0
8,1252,1588,4648,1677,7576,7521,2905,0.341644973214862,0,1,0,0
7,15023,25713,65567,9632,88928,158254,80892,0.39216314279570086,0,0,1,0
9,1584,3156,9065,6296,23585,21339,8421,0.3481483932885462,0,1,0,0
1,376,1503,3684,4822,7904,7226,7470,0.40796938193860105,0,1,0,0
1,123,226,605,378,937,1034,718,0.3734919847959015,0,0,1,0
4,2991,3462,9715,11955,18853,17892,14216,0.35635248221840227,0,1,0,0
2,127,352,1196,337,2496,1714,530,0.2942897751024162,0,1,0,0
7,2842,5829,16153,5023,28183,35496,11201,0.360859525416174,0,0,1,0
2,6538,14540,38473,11828,54688,82442,40992,0.37792639532556516,0,0,1,0
8,1812,2891,10027,2649,18604,20352,4907,0.28831865644104476,0,0,1,0
1,223,1373,3235,4522,7321,7037,7432,0.4244072826187753,0,0,0,1
1,1055,5317,12904,21736,32109,32699,32581,0.41203958431816246,0,0,1,0
6,1348,3476,9123,12362,19603,20472,14379,0.38101084061338797,0,0,1,0
1,870,4761,11880,17303,29595,31893,26695,0.40075420240570364,0,0,1,0
2,3,1,9,18,24,25,19,0.10989010989010989,0,0,1,0
6,28,7,59,49,144,140,97,0.11844331641285956,0,1,0,0
6,75,123,388,287,905,1065,412,0.31692862664261784,0,0,1,0
1,541,3524,8960,13644,24386,23359,20370,0.3932991819287731,0,1,0,0
1,361,3092,7442,15519,18538,18181,20386,0.4154741269265395,0,0,0,1
8,744,1144,3269,987,6161,6534,2495,0.34994340950108593,0,0,1,0
6,99,201,563,29,1358,1508,81,0.35695258391049545,0,0,1,0
1,1253,4879,11674,22110,28472,26709,29329,0.4179337165177615,0,0,0,1
2,11,12,22,35,59,57,39,0.5429864253393665,0,1,0,0
8,391,994,3081,2480,6589,6596,3255,0.3226120541365097,0,0,1,0
7,584,1853,4534,591,9659,15143,1301,0.40868088485035614,0,0,1,0
2,962,1930,4965,2275,6600,7390,5493,0.38871321826347904,0,0,1,0
1,1519,5891,14214,25677,33624,34144,34054,0.41444762594888174,0,0,1,0
5,79,135,337,238,381,334,328,0.40047463660634824,0,1,0,0
3,408,826,4080,4179,4455,6254,5182,0.20244601847993923,0,0,1,0
8,2170,2107,9995,1498,16555,15624,2953,0.2108032936138708,0,1,0,0
1,921,4481,11155,18779,27109,29176,25052,0.4016996710025011,0,0,1,0
6,1,0,2,0,0,0,3,0.0,0,0,0,1
1,184,463,1217,2273,2876,2531,2931,0.3804124558376469,0,0,0,1
2,1402,4153,10379,13686,22677,25739,20877,0.40013103255580923,0,0,1,0
1,353,1215,3134,6313,6975,6233,6756,0.38767110175169905,0,1,0,0
8,855,5671,16307,11942,44599,44372,21312,0.34776263100122035,0,1,0,0
1,582,2906,6957,9471,16137,15592,14866,0.4177027784565408,0,1,0,0
8,822,1065,2797,1446,2949,3311,2372,0.3807514926173537,0,0,1,0
6,230,205,573,648,1056,1235,896,0.3577037166288606,0,0,1,0
9,1003,2854,7820,7905,21096,19936,11105,0.3649569698597204,0,1,0,0
6,30,25,59,107,180,164,105,0.4230118443316413,0,1,0,0
3,565,2170,5601,9585,14183,13719,11151,0.3874238988770063,0,1,0,0
6,48,62,163,83,223,251,203,0.3801348865726548,0,0,1,0
5,1,2,3,0,3,9,1,0.6451612903225806,0,0,1,0
2,115,134,338,192,574,586,357,0.396332446021887,0,0,1,0
9,1368,1969,5173,2693,7703,8846,4211,0.38062283737024216,0,0,1,0
4,87,165,389,93,402,596,283,0.42405551272166536,0,0,1,0
9,594,1269,3125,3386,6198,6990,5412,0.4060670058558126,0,0,1,0
6,15,14,39,68,78,86,75,0.35805626598465473,0,0,1,0
1,46,201,513,707,1468,1372,1259,0.39173650360553497,0,1,0,0
1,1962,8744,21650,38673,53252,54419,48918,0.4038780421337546,0,0,1,0
5,2,1,4,6,7,10,9,0.24390243902439027,0,0,1,0
5,4,9,32,0,75,134,32,0.2803738317757009,0,0,1,0
3,1408,4980,15323,5074,38435,49817,14965,0.3249995105429058,0,0,1,0
6,210,300,701,446,1162,1374,809,0.4278990158322636,0,0,1,0
1,60,315,859,1480,3084,2710,1863,0.36666278663717844,0,1,0,0
1,910,4049,9823,16910,24861,23559,23631,0.4121916706538669,0,1,0,0
2,543,3550,8646,21280,23669,18362,21729,0.41058974566567585,0,1,0,0
2,2,2,2,5,10,10,7,0.9523809523809523,0,1,0,0
2,1405,5410,19227,1514,45066,45345,11607,0.2813736860993078,0,0,1,0
3,1211,3047,8877,3353,19632,20328,6367,0.3432427256649131,0,0,1,0
7,381,1099,2761,394,8061,9615,1032,0.39802977074354423,0,0,1,0
1,808,5935,14450,33364,41356,42144,44086,0.4107238012193687,0,0,0,1
6,2,0,4,6,11,9,6,0.0,0,1,0,0
6,1,0,2,0,4,5,2,0.0,0,0,1,0
1,871,2576,6097,10128,13141,12564,12126,0.42249594069311636,0,1,0,0
2,235,421,1046,500,634,2326,1801,0.40244718478156966,0,0,1,0
9,1646,2844,7390,5978,13268,12554,8470,0.3848391767364447,0,1,0,0
6,192,485,1287,836,2635,3191,1765,0.3768160982052677,0,0,1,0
2,1990,2265,6842,777,6052,7359,2593,0.3310387161836278,0,0,1,0
3,369,1115,2804,3919,5029,4964,4919,0.3976320388003281,0,1,0,0
6,25,50,95,83,196,222,119,0.5257623554153523,0,0,1,0
2,5583,18253,54778,4409,113398,170991,16178,0.33321710683649125,0,0,1,0
1,522,4068,10079,18057,27730,27819,26458,0.4036074649522279,0,0,1,0
8,70,207,672,61,1909,1880,242,0.30798988245796755,0,1,0,0
7,453,2370,5765,8915,12463,13515,13847,0.41109434354998176,0,0,0,1
2,2963,6142,16903,7585,24602,30911,20841,0.36336529985623944,0,0,1,0
3,200,709,2219,437,7473,6867,1737,0.3194988959488081,0,1,0,0
2,1869,5709,13002,18357,28127,28421,26536,0.4390829173748856,0,0,1,0
2,1234,3808,9692,18655,23075,23089,23602,0.39289730811692,0,0,0,1
2,36,26,72,3,44,64,42,0.3606102635228849,0,0,1,0
1,12,16,66,26,65,16,36,0.24205748865355525,0,1,0,0
6,212,1595,3907,8719,9375,9323,11620,0.4082311688976479,0,0,0,1
4,248,870,2353,4400,6327,6046,4900,0.36972504355955976,0,1,0,0
2,751,1368,3221,1701,5373,5887,3152,0.4246996367700475,0,0,1,0
1,1784,5564,13670,18661,34956,39967,28041,0.4070196999290422,0,0,1,0
2,675,1862,5138,5149,9913,9975,7733,0.36239076701504447,0,0,1,0
4,6128,8848,25580,11465,41512,41257,20825,0.34589387844457214,0,1,0,0
9,10253,15503,41739,42174,106407,102361,57367,0.3714263124983529,0,1,0,0
6,135,191,525,567,1253,1392,847,0.3637402399542944,0,0,1,0
2,95,121,296,217,374,484,402,0.40864572779466396,0,0,1,0
6,395,2815,6729,11718,16331,15063,16659,0.4183323178433966,0,0,0,1
1,657,3005,7409,9958,15919,18414,14031,0.4055823244388657,0,0,1,0
6,301,679,1663,2375,3055,2748,3460,0.4082737057302628,0,0,0,1
2,342,661,1983,1128,4907,5371,1965,0.33331652463315015,0,0,1,0
3,352,1057,4152,2041,8347,8798,2879,0.2545699766383276,0,0,1,0
6,67,168,489,458,1298,1116,500,0.3434880392557759,0,1,0,0
1,124,846,2064,2507,4720,4583,4514,0.40986386318492324,0,1,0,0
3,943,2874,7120,8815,14483,14180,13111,0.4036460162076375,0,1,0,0
1,675,4389,10769,22425,27924,25597,29694,0.4075549488815221,0,0,0,1
1,728,2667,6898,10233,15491,15959,13331,0.386628201968658,0,0,1,0
1,371,1198,2853,4473,5692,5426,6224,0.41989415022256493,0,0,0,1
5,15827,20943,52319,18761,39770,46130,37543,0.4002935830318182,0,0,1,0
6,3032,2601,7427,1348,6848,4077,4048,0.35020398271196024,0,1,0,0
3,44,41,131,88,288,316,192,0.3127383676582761,0,0,1,0
5,13,3,25,9,47,63,37,0.1195219123505976,0,0,1,0
5,85,159,427,352,1056,1006,558,0.37227815499882927,0,1,0,0
1,115,273,604,854,1501,1162,920,0.4519119351100811,0,1,0,0
6,732,3337,8738,13519,21183,21967,17833,0.3818908000595095,0,0,1,0
2,690,1059,2550,56,2918,4043,2428,0.41527783224187287,0,0,1,0
1,634,3785,9133,17923,23503,22530,25015,0.41442664593621004,0,0,0,1
7,7784,13571,33666,2907,54990,103317,41517,0.40310579485001236,0,0,1,0
6,75,106,264,320,326,304,370,0.4013631200302915,0,0,0,1
1,376,1198,3184,4337,7789,7648,6590,0.3762444646838981,0,1,0,0
5,8,7,17,35,33,34,28,0.4093567251461988,1,0,0,0
1,105,323,779,1211,1175,1087,1710,0.4145809267103068,0,0,0,1
2,1056,2503,6979,1229,10497,12302,4926,0.3586422318063934,0,0,1,0
1,300,1782,4661,8183,11638,12371,11887,0.38231318787410695,0,0,1,0
1,1221,4511,12812,13588,30686,35709,19194,0.3520890408285917,0,0,1,0
1,786,7266,17345,31622,46530,46257,47870,0.41890793365273193,0,0,0,1
7,350,734,2623,238,4824,5475,742,0.27982158514734473,0,0,1,0
3,198,1200,3063,7425,8412,7948,8283,0.3917599817178675,0,1,0,0
1,333,2613,6336,10943,17154,18015,17403,0.41239879421094994,0,0,1,0
9,1226,3063,8886,6143,22929,21360,10265,0.34469564825964144,0,1,0,0
6,1,2,5,11,2,3,18,0.3921568627450981,0,0,0,1
2,1198,1697,4521,1488,5391,5511,4402,0.3753511313618367,0,0,1,0
5,4,4,12,15,12,0,4,0.3305785123966942,1,0,0,0
3,891,4845,12243,34516,31054,28047,35115,0.39573310681118345,0,0,0,1
9,93,106,325,148,568,616,231,0.32605352199323284,0,0,1,0
2,1184,9104,22920,59117,69452,59339,66809,0.39720594587283653,0,1,0,0
2,337,2235,5291,13919,13721,13065,16862,0.4224074389068435,0,0,0,1
2,462,1612,4282,7310,11107,11034,8398,0.3764508068471077,0,1,0,0
1,503,2769,6573,10020,16201,17757,16148,0.4212624180371514,0,0,1,0
6,1151,2782,6708,5219,11128,13176,12820,0.4147224996645846,0,0,1,0
1,359,2228,5501,13404,14618,12079,13884,0.40500990710948714,0,1,0,0
1,1542,2721,6823,8454,11506,11487,10552,0.39879233779367146,0,1,0,0
1,582,3859,9227,20010,24925,24945,26992,0.41822457760293047,0,0,0,1
9,3417,6390,18032,13567,40144,38318,20108,0.3543680436554811,0,1,0,0
7,5940,13806,44881,24097,93580,98192,35761,0.3076127813266609,0,0,1,0
1,1737,4471,11531,16542,27041,28170,23973,0.38773404098481495,0,0,1,0
6,1,0,2,0,3,9,5,0.0,0,0,1,0
7,6310,11247,28509,3935,51635,76503,23795,0.39450561399693435,0,0,1,0
9,9031,14453,41079,33754,111304,111472,50048,0.35183341407187596,0,0,1,0
5,6,4,11,12,7,4,11,0.3603603603603604,1,0,0,0
2,290,528,1689,161,1880,2546,1520,0.3125925048842579,0,0,1,0
9,61,93,220,141,369,391,232,0.4225352112676056,0,0,1,0
3,299,688,3328,3179,4967,5363,3346,0.20672455755536193,0,0,1,0
1,1252,7123,17727,37122,41393,39882,47781,0.40181417152269694,0,0,0,1
6,1785,1958,5700,3141,6937,7001,4580,0.34350274556586724,0,0,1,0
9,777,4416,10947,24122,30881,30232,30643,0.4033945063076066,0,1,0,0
2,216,769,2404,417,3935,6218,2949,0.319870221704588,0,0,1,0
5,206,107,526,576,1087,1190,824,0.20338338718874738,0,0,1,0
3,1760,6386,24852,2251,71842,91746,13242,0.25696017640360375,0,0,1,0
1,424,3000,7107,15205,18984,17998,20207,0.42211309816943615,0,0,0,1
7,6951,15306,36220,6755,55586,95326,40660,0.422583040908225,0,0,1,0
5,152,264,727,330,1200,1045,380,0.3630862329803328,0,1,0,0
1,1365,3197,9514,8321,16603,15169,9828,0.3360275801179302,0,1,0,0
7,1299,4673,11208,14375,26256,28867,18184,0.4169306126818997,0,0,1,0
1,4,4,17,28,59,37,7,0.23391812865497075,0,1,0,0
8,684,1872,5388,3221,11249,12801,5736,0.3474323045229301,0,0,1,0
1,1464,7563,18896,37887,52061,49652,48510,0.4002413196373855,0,1,0,0
2,470,1451,3689,5585,8372,9762,8270,0.39332086416741213,0,0,1,0
6,424,3203,7362,14468,17910,16853,20209,0.4350660816886486,0,0,0,1
3,1704,2693,8471,2268,14185,17951,4778,0.3179044043866794,0,0,1,0
1,111,135,381,269,915,802,403,0.35423773287850957,0,1,0,0
2,4343,14429,36561,35193,63674,70216,55209,0.3946544277934745,0,0,1,0
6,2,1,6,5,14,25,16,0.1639344262295082,0,0,1,0
1,2194,7121,17275,37648,37544,31936,45518,0.4122117961690526,0,0,0,1
4,113,193,566,727,1002,1113,833,0.3409291644585762,0,0,1,0
1,1460,2896,7339,2928,15733,14347,1363,0.39459879276750554,0,1,0,0
6,1038,1399,3767,2433,4450,4617,3842,0.3713732048525391,0,0,1,0
1,347,2143,5003,9952,12159,10711,13112,0.42833443265175586,0,0,0,1
3,1119,2757,9078,1098,20170,26802,5488,0.30369791035569116,0,0,1,0
1,1373,3637,9198,9026,14681,15779,16545,0.3954077472521499,0,0,0,1
1,232,2481,6081,15385,20056,20436,19887,0.40798539737876366,0,0,1,0
2,460,628,1562,502,2237,3530,1222,0.402022917866974,0,0,1,0
5,60,65,82,49,102,168,116,0.7917174177831913,0,0,1,0
9,193,276,811,439,1287,1334,757,0.3402786339538898,0,0,1,0
1,218,838,1939,2449,5132,5048,3876,0.43215924913619724,0,1,0,0
5,2,2,3,0,5,8,2,0.6451612903225806,0,0,1,0
2,2494,5257,13779,5857,18615,19579,12968,0.3815198380155453,0,0,1,0
8,373,895,2993,337,6133,6749,1285,0.29902108182152287,0,0,1,0
1,259,1639,3846,6681,8479,8287,10381,0.4261459660435246,0,0,0,1
1,542,1906,4890,11270,11443,10274,12847,0.38976708042780306,0,0,0,1
1,575,2811,7410,14249,20741,18814,18015,0.3793471073264868,0,1,0,0
2,29,21,63,55,107,111,89,0.3328050713153724,0,0,1,0
1,219,1724,4329,12074,11396,9500,13786,0.398235199002102,0,0,0,1
3,115,728,2109,1422,6617,6410,2505,0.345170925987388,0,1,0,0
5,4,3,5,1,7,4,7,0.5882352941176471,0,1,0,0
8,1000,3088,10128,2645,23118,24686,5256,0.30489430396619305,0,0,1,0
1,416,2552,6157,12419,18199,19377,17864,0.41448084325412937,0,0,1,0
2,628,2590,7531,1495,15253,21479,11319,0.3439072645430282,0,0,1,0
2,141,842,2252,3236,5267,4873,4962,0.37387327383331115,0,1,0,0
1,6328,14942,47279,10807,98321,118546,31613,0.31603816485508396,0,0,1,0
5,3,2,4,0,0,4,9,0.48780487804878053,0,0,0,1
6,255,1380,3512,8704,8775,8758,10851,0.39292730844793716,0,0,0,1
3,248,801,2388,2847,5681,5303,3358,0.3354130899041079,0,1,0,0
2,783,1361,4706,1108,7584,6966,1960,0.28919912454048996,0,1,0,0
3,295,754,2287,469,3764,3272,927,0.32967513444973984,0,1,0,0
3,22,16,45,49,94,85,63,0.3547671840354767,0,1,0,0
4,159,133,441,520,820,882,759,0.3015189299478576,0,0,1,0
8,406,1599,5323,1830,13555,12720,2674,0.30038887114651236,0,1,0,0
7,2907,6611,16543,9658,26463,35815,24823,0.3996228034648887,0,0,1,0
7,736,1425,3581,1995,6015,6624,3152,0.3979224260702019,0,0,1,0
9,124,94,326,227,508,593,410,0.2882551364612082,0,0,1,0
6,5680,17937,43165,54510,73900,76545,82781,0.4155440390500659,0,0,0,1
1,1079,7040,17297,33953,40615,35209,42245,0.40700464239670237,0,0,0,1
7,302,1229,3014,3881,6481,6970,5847,0.4077502405361468,0,0,1,0
6,6051,12579,39581,16391,81506,90201,30087,0.317803193948627,0,0,1,0
6,51,88,209,230,338,383,510,0.42085126733620276,0,0,0,1
1,549,2917,7278,15529,19496,18928,19781,0.40079141534191615,0,0,0,1
1,19,25,60,53,137,126,110,0.4159733777038269,0,1,0,0
6,30,76,192,33,310,255,55,0.3956272774596564,0,1,0,0
1,1454,1930,4433,2310,6279,6955,5112,0.4353612596151677,0,0,1,0
1,517,1863,4616,7348,10480,10559,9814,0.4035874439461883,0,0,1,0
3,2,1,4,1,1,4,4,0.24390243902439027,0,0,1,0
8,696,1750,5719,1036,11309,11110,1728,0.3059922015701771,0,1,0,0
5,119,223,546,418,846,890,732,0.4083501190258194,0,0,1,0
1,1012,4339,10649,16958,23485,26429,24261,0.40745227296203435,0,0,1,0
1,572,1950,4652,8032,10757,10025,11230,0.41916553814406393,0,0,0,1
7,5434,15336,48246,14605,99185,124012,31764,0.31787025272509073,0,0,1,0
5,1,1,3,0,2,2,0,0.3225806451612903,0,1,0,0
1,481,4082,9721,20419,24120,21959,26088,0.41991132690744876,0,0,0,1
2,1639,3955,11585,6268,29182,29773,11192,0.34138678129666555,0,0,1,0
9,365,673,1889,1040,3619,3978,1734,0.35625430098988936,0,0,1,0
7,7193,15353,34672,9254,44486,67013,36996,0.44280559873789016,0,0,1,0
4,126,100,242,203,462,414,314,0.4130524576621231,0,1,0,0
2,1040,2634,6677,8296,14057,13561,10414,0.3944826346767309,0,1,0,0
3,250,803,2476,1228,6942,7447,2446,0.32430031097290096,0,0,1,0
9,15072,14659,45142,15114,75285,64613,26480,0.3247301299673697,0,1,0,0
6,10,11,10,17,29,34,27,1.0891089108910892,0,0,1,0
9,10171,19454,51766,38206,121968,125915,60794,0.37580578795775615,0,0,1,0
1,1788,6665,16563,24599,40841,40410,32542,0.4024005168114665,0,1,0,0
9,8555,12832,40647,17790,99222,85216,25748,0.31569287845873384,0,1,0,0
1,47,195,477,756,1010,1006,1339,0.4087193460490463,0,0,0,1
7,3724,7783,26245,6516,45536,63328,16500,0.2965505942061566,0,0,1,0
9,2134,6891,17168,21120,36931,40585,31873,0.40138396211578453,0,0,1,0
6,3,0,6,7,6,3,9,0.0,0,0,0,1
1,556,1459,3354,4935,6806,7168,6656,0.4349900122238455,0,0,1,0
6,90,105,285,83,273,211,171,0.36829182742897226,0,1,0,0
1,641,2504,6310,14037,15224,14556,16090,0.39682413907861996,0,0,0,1
1,322,2455,5972,12857,13479,13051,17646,0.4110781802046181,0,0,0,1
1,1640,4511,11393,14665,22873,25922,21860,0.3959414031299646,0,0,1,0
9,396,882,2593,831,6150,5522,1714,0.34013343102849874,0,1,0,0
2,732,1317,4259,2625,9492,10790,4798,0.3092202578009438,0,0,1,0
9,4695,8987,26161,14190,53851,68369,30215,0.3435253104800639,0,0,1,0
2,425,531,1432,1612,2047,1847,1844,0.3707841631171008,0,1,0,0
6,250,172,595,911,1473,1646,1021,0.28902705427659214,0,0,1,0
1,1402,6683,16114,31350,39116,36023,40178,0.4147299569941852,0,0,0,1
5,43,17,121,83,217,246,199,0.14037985136251033,0,0,1,0
6,15,12,23,24,71,89,53,0.5194805194805194,0,0,1,0
5,672,748,2053,491,2748,3025,819,0.36432711509424776,0,0,1,0
6,102,118,356,160,449,490,357,0.3313675933726481,0,0,1,0
8,10,8,31,0,16,19,17,0.2572347266881029,0,0,1,0
6,60,152,365,480,641,853,861,0.416324294713777,0,0,0,1
6,24,24,63,28,83,104,72,0.3803486529318542,0,0,1,0
2,5762,6779,17585,8108,17262,16668,13640,0.3854968126425213,0,1,0,0
1,641,1594,3972,3675,8510,9814,5782,0.40129906095012713,0,0,1,0
1,418,2839,6887,12045,17340,17533,17983,0.4122199474379637,0,0,0,1
8,718,1674,5577,1754,10851,11211,2648,0.30015599505119145,0,0,1,0
8,1078,3741,9514,16925,26491,26481,23798,0.39320587338791896,0,1,0,0
1,886,4856,11791,20024,26470,26376,30171,0.4118360458311777,0,0,0,1
3,630,1129,3159,1044,5637,7599,2463,0.3573802665316071,0,0,1,0
2,21,23,56,39,72,82,61,0.40998217468805703,0,0,1,0
1,1818,5391,13718,20541,28895,30206,27344,0.39298445119951014,0,0,1,0
1,351,2446,5812,11203,14013,13428,16118,0.4208461657576435,0,0,0,1
2,608,3028,5842,10092,2113,6204,12656,0.5183067732493453,0,0,0,1
3,321,756,2287,590,7612,8129,1213,0.33054960430239166,0,0,1,0
6,128,154,356,254,572,530,375,0.43246279135074417,0,1,0,0
1,473,1751,4262,4667,9959,10636,8190,0.41083034185026157,0,0,1,0
9,1388,4103,11171,13197,25120,22524,17167,0.36728701739309466,0,1,0,0
2,2896,7086,20211,3747,31257,41445,14549,0.35059942308929254,0,0,1,0
5,25,17,50,18,21,85,18,0.3393213572854291,0,0,1,0
2,677,1167,3782,619,7435,8075,1346,0.3085587372094868,0,0,1,0
2,398,529,1554,409,2545,2205,916,0.34038993629753556,0,1,0,0
9,19922,20048,60855,21897,129357,110075,32692,0.32943828865616853,0,1,0,0
6,24,34,81,120,228,209,152,0.4192355117139334,0,1,0,0
4,339,395,1021,1077,1821,1855,1499,0.38683772402311234,0,0,1,0
1,852,4965,12185,28114,35373,33583,35215,0.4074648546175247,0,1,0,0
3,97,220,642,78,1244,1527,237,0.34262575922753463,0,0,1,0
2,5822,17807,44763,54362,72726,82640,94578,0.3978053351979644,0,0,0,1
6,2,1,3,0,1,2,1,0.3225806451612903,0,0,1,0
2,2006,4412,11303,8876,17081,17419,15193,0.3903353947147243,0,0,1,0
1,7,11,4,17,6,3,10,2.682926829268293,1,0,0,0
1,9569,9810,26908,6798,25134,30852,16887,0.364574236010718,0,0,1,0
3,579,609,2153,694,2285,4122,2153,0.28284798662393756,0,0,1,0
1,450,2874,6921,15845,15687,13709,19351,0.415251910823424,0,0,0,1
9,606,2477,5936,11063,13484,13214,14074,0.417277336972086,0,0,0,1
8,1956,3928,10505,5925,21732,30941,14174,0.373913622906969,0,0,1,0
2,153,212,579,429,921,883,637,0.3660853047832844,0,1,0,0
7,589,1003,2426,296,3481,6034,3023,0.41342071637607686,0,0,1,0
1,1526,3284,8213,12084,14204,13587,16319,0.3998490216848693,0,0,0,1
8,817,1201,2995,2045,4182,3700,3686,0.40098828085873595,0,1,0,0
2,165,227,517,272,883,1070,1004,0.43898665635273637,0,0,1,0
9,5151,8126,23610,12028,49302,41754,16512,0.34417473877704885,0,1,0,0
2,786,4503,11919,16355,29100,30742,25484,0.37779698131570333,0,0,1,0
1,2705,7462,18198,18927,33377,34285,31067,0.41004280666663007,0,0,1,0
2,222,401,1447,122,2864,2655,339,0.2771059360099509,0,1,0,0
8,338,1865,4649,8711,12711,12198,12317,0.4011529113161687,0,1,0,0
7,529,1636,4237,719,10282,11966,1059,0.38611314342356795,0,0,1,0
5,22,23,52,62,53,52,72,0.44145873320537427,0,0,0,1
6,12,12,22,37,98,104,95,0.5429864253393665,0,0,1,0
5,48,41,102,84,176,191,128,0.4015670910871695,0,0,1,0
